INFO:random-gd-1031:trial:      0 / 100_000  |  f_evals:       2_679 / 50_000_000  |  f_min: 1.112488e-09
INFO:random-gd-1031:trial:     52 / 100_000  |  f_evals:     113_430 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     53 / 100_000  |  f_evals:     114_570 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     54 / 100_000  |  f_evals:     117_363 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     55 / 100_000  |  f_evals:     119_149 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     56 / 100_000  |  f_evals:     125_685 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     57 / 100_000  |  f_evals:     126_464 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     58 / 100_000  |  f_evals:     127_680 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     59 / 100_000  |  f_evals:     128_839 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     60 / 100_000  |  f_evals:     132_943 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     61 / 100_000  |  f_evals:     133_342 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     62 / 100_000  |  f_evals:     138_377 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     63 / 100_000  |  f_evals:     141_607 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     64 / 100_000  |  f_evals:     142_747 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     65 / 100_000  |  f_evals:     144_761 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     66 / 100_000  |  f_evals:     159_771 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     67 / 100_000  |  f_evals:     160_265 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     68 / 100_000  |  f_evals:     161_994 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     69 / 100_000  |  f_evals:     172_729 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     70 / 100_000  |  f_evals:     173_128 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     71 / 100_000  |  f_evals:     175_693 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     72 / 100_000  |  f_evals:     176_776 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     73 / 100_000  |  f_evals:     178_524 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     74 / 100_000  |  f_evals:     178_923 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     75 / 100_000  |  f_evals:     179_683 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     76 / 100_000  |  f_evals:     183_008 / 50_000_000  |  f_min: 6.923018e-12
INFO:random-gd-1031:trial:     77 / 100_000  |  f_evals:     183_445 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     78 / 100_000  |  f_evals:     185_098 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     79 / 100_000  |  f_evals:     192_546 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     80 / 100_000  |  f_evals:     195_035 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     81 / 100_000  |  f_evals:     195_871 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     82 / 100_000  |  f_evals:     199_785 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     83 / 100_000  |  f_evals:     200_545 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     84 / 100_000  |  f_evals:     201_856 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     85 / 100_000  |  f_evals:     202_521 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     86 / 100_000  |  f_evals:     202_920 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     87 / 100_000  |  f_evals:     206_606 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     88 / 100_000  |  f_evals:     207_005 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     89 / 100_000  |  f_evals:     207_404 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     90 / 100_000  |  f_evals:     208_050 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     91 / 100_000  |  f_evals:     209_380 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     92 / 100_000  |  f_evals:     210_064 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     93 / 100_000  |  f_evals:     212_401 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     94 / 100_000  |  f_evals:     213_275 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     95 / 100_000  |  f_evals:     215_441 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     96 / 100_000  |  f_evals:     215_840 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     97 / 100_000  |  f_evals:     217_531 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     98 / 100_000  |  f_evals:     219_241 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:     99 / 100_000  |  f_evals:     232_693 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    100 / 100_000  |  f_evals:     233_092 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    101 / 100_000  |  f_evals:     233_491 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    102 / 100_000  |  f_evals:     233_890 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    103 / 100_000  |  f_evals:     234_536 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    104 / 100_000  |  f_evals:     235_809 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    105 / 100_000  |  f_evals:     236_208 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    106 / 100_000  |  f_evals:     238_697 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    107 / 100_000  |  f_evals:     239_267 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    108 / 100_000  |  f_evals:     240_331 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    109 / 100_000  |  f_evals:     241_547 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    110 / 100_000  |  f_evals:     242_516 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    111 / 100_000  |  f_evals:     245_575 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    112 / 100_000  |  f_evals:     248_995 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    113 / 100_000  |  f_evals:     249_603 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    114 / 100_000  |  f_evals:     250_515 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    115 / 100_000  |  f_evals:     250_914 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    116 / 100_000  |  f_evals:     251_750 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    117 / 100_000  |  f_evals:     252_491 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    118 / 100_000  |  f_evals:     252_890 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    119 / 100_000  |  f_evals:     254_581 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    120 / 100_000  |  f_evals:     257_925 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    121 / 100_000  |  f_evals:     264_214 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    122 / 100_000  |  f_evals:     265_943 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    123 / 100_000  |  f_evals:     267_007 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    124 / 100_000  |  f_evals:     268_128 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    125 / 100_000  |  f_evals:     268_717 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    126 / 100_000  |  f_evals:     269_116 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    127 / 100_000  |  f_evals:     270_066 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    128 / 100_000  |  f_evals:     270_864 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    129 / 100_000  |  f_evals:     273_296 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    130 / 100_000  |  f_evals:     273_695 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    131 / 100_000  |  f_evals:     274_094 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    132 / 100_000  |  f_evals:     274_493 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    133 / 100_000  |  f_evals:     275_101 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    134 / 100_000  |  f_evals:     275_500 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    135 / 100_000  |  f_evals:     276_678 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    136 / 100_000  |  f_evals:     282_302 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    137 / 100_000  |  f_evals:     282_701 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    138 / 100_000  |  f_evals:     286_425 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    139 / 100_000  |  f_evals:     291_764 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    140 / 100_000  |  f_evals:     292_315 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    141 / 100_000  |  f_evals:     292_714 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    142 / 100_000  |  f_evals:     293_379 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    143 / 100_000  |  f_evals:     294_177 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    144 / 100_000  |  f_evals:     295_374 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    145 / 100_000  |  f_evals:     295_773 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    146 / 100_000  |  f_evals:     296_647 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    147 / 100_000  |  f_evals:     297_160 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    148 / 100_000  |  f_evals:     299_364 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    149 / 100_000  |  f_evals:     303_696 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    150 / 100_000  |  f_evals:     304_095 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    151 / 100_000  |  f_evals:     304_779 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    152 / 100_000  |  f_evals:     305_254 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    153 / 100_000  |  f_evals:     307_021 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    154 / 100_000  |  f_evals:     308_275 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    155 / 100_000  |  f_evals:     308_674 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    156 / 100_000  |  f_evals:     309_377 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    157 / 100_000  |  f_evals:     309_776 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    158 / 100_000  |  f_evals:     311_258 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    159 / 100_000  |  f_evals:     311_999 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    160 / 100_000  |  f_evals:     313_595 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    161 / 100_000  |  f_evals:     326_040 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    162 / 100_000  |  f_evals:     326_439 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    163 / 100_000  |  f_evals:     327_750 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    164 / 100_000  |  f_evals:     328_301 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    165 / 100_000  |  f_evals:     331_075 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    166 / 100_000  |  f_evals:     334_856 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    167 / 100_000  |  f_evals:     335_730 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    168 / 100_000  |  f_evals:     336_129 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    169 / 100_000  |  f_evals:     336_889 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    170 / 100_000  |  f_evals:     337_364 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    171 / 100_000  |  f_evals:     338_542 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    172 / 100_000  |  f_evals:     343_596 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    173 / 100_000  |  f_evals:     344_793 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    174 / 100_000  |  f_evals:     351_614 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    175 / 100_000  |  f_evals:     352_013 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    176 / 100_000  |  f_evals:     352_659 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    177 / 100_000  |  f_evals:     360_145 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    178 / 100_000  |  f_evals:     360_962 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    179 / 100_000  |  f_evals:     361_361 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    180 / 100_000  |  f_evals:     363_166 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    181 / 100_000  |  f_evals:     370_044 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    182 / 100_000  |  f_evals:     370_443 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    183 / 100_000  |  f_evals:     373_350 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    184 / 100_000  |  f_evals:     373_787 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    185 / 100_000  |  f_evals:     375_003 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    186 / 100_000  |  f_evals:     376_124 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    187 / 100_000  |  f_evals:     377_948 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    188 / 100_000  |  f_evals:     378_575 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    189 / 100_000  |  f_evals:     378_974 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    190 / 100_000  |  f_evals:     379_658 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    191 / 100_000  |  f_evals:     380_152 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    192 / 100_000  |  f_evals:     381_292 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    193 / 100_000  |  f_evals:     381_919 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    194 / 100_000  |  f_evals:     382_660 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    195 / 100_000  |  f_evals:     384_465 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    196 / 100_000  |  f_evals:     385_358 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    197 / 100_000  |  f_evals:     385_757 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    198 / 100_000  |  f_evals:     386_156 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    199 / 100_000  |  f_evals:     386_555 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    200 / 100_000  |  f_evals:     387_486 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    201 / 100_000  |  f_evals:     390_773 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    202 / 100_000  |  f_evals:     391_172 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    203 / 100_000  |  f_evals:     391_571 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    204 / 100_000  |  f_evals:     393_756 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    205 / 100_000  |  f_evals:     395_732 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    206 / 100_000  |  f_evals:     398_183 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    207 / 100_000  |  f_evals:     398_981 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    208 / 100_000  |  f_evals:     399_380 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    209 / 100_000  |  f_evals:     400_672 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    210 / 100_000  |  f_evals:     402_192 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    211 / 100_000  |  f_evals:     402_857 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    212 / 100_000  |  f_evals:     403_503 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    213 / 100_000  |  f_evals:     404_776 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    214 / 100_000  |  f_evals:     406_163 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    215 / 100_000  |  f_evals:     406_676 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    216 / 100_000  |  f_evals:     407_075 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    217 / 100_000  |  f_evals:     411_958 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    218 / 100_000  |  f_evals:     413_117 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    219 / 100_000  |  f_evals:     416_328 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    220 / 100_000  |  f_evals:     417_164 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    221 / 100_000  |  f_evals:     417_943 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    222 / 100_000  |  f_evals:     418_342 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    223 / 100_000  |  f_evals:     419_482 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    224 / 100_000  |  f_evals:     421_135 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    225 / 100_000  |  f_evals:     422_009 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    226 / 100_000  |  f_evals:     422_807 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    227 / 100_000  |  f_evals:     423_776 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    228 / 100_000  |  f_evals:     427_139 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    229 / 100_000  |  f_evals:     428_507 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    230 / 100_000  |  f_evals:     429_362 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    231 / 100_000  |  f_evals:     433_542 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    232 / 100_000  |  f_evals:     435_860 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    233 / 100_000  |  f_evals:     450_870 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    234 / 100_000  |  f_evals:     451_953 / 50_000_000  |  f_min: 5.597633e-12
INFO:random-gd-1031:trial:    235 / 100_000  |  f_evals:     452_542 / 50_000_000  |  f_min: 5.597633e-12
